[2026-06-05 00:21:42] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'june'), ('year', '2026'), ('type', 'intra'), ('applicable', 'may'), ('username', 'admin@pds'), ('async', '0')])
[2026-06-05 00:23:01] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'june'), ('year', '2026'), ('type', 'intra'), ('applicable', 'may'), ('username', 'admin@pds'), ('async', '0')])
[2026-06-05 00:25:51] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'june'), ('year', '2026'), ('type', 'intra'), ('applicable', 'may'), ('username', 'admin@pds'), ('async', '0')])
[2026-06-05 00:26:58] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'june'), ('year', '2026'), ('type', 'intra'), ('applicable', 'may'), ('username', 'admin@pds'), ('async', '0')])
[2026-06-05 00:27:35] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'june'), ('year', '2026'), ('type', 'intra'), ('applicable', 'may'), ('username', 'admin@pds'), ('async', '0')])
[2026-06-05 00:29:04] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'june'), ('year', '2026'), ('type', 'intra'), ('applicable', 'may'), ('username', 'admin@pds'), ('async', '0')])
[2026-06-05 00:30:06] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'june'), ('year', '2026'), ('type', 'intra'), ('applicable', 'may'), ('username', 'admin@pds'), ('async', '0')])
[2026-06-05 00:37:49] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'june'), ('year', '2026'), ('type', 'intra'), ('applicable', 'may'), ('username', 'admin@pds'), ('async', '0')])
[2026-06-05 00:42:34] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'june'), ('year', '2026'), ('type', 'intra'), ('applicable', 'may'), ('username', 'admin@pds'), ('async', '0')])
[2026-06-05 00:50:01] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'june'), ('year', '2026'), ('type', 'intra'), ('applicable', 'may'), ('username', 'admin@pds'), ('async', '0')])
[2026-06-05 01:36:30] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'june'), ('year', '2026'), ('type', 'inter'), ('applicable', 'may'), ('username', 'admin@pds'), ('async', '1')])
[2026-06-05 01:37:42] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'june'), ('year', '2026'), ('type', 'inter'), ('applicable', 'may'), ('username', 'admin@pds'), ('async', '1')])
[2026-06-05 01:39:15] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'june'), ('year', '2026'), ('type', 'inter'), ('applicable', 'may'), ('username', 'admin@pds'), ('async', '1')])
[2026-06-05 01:39:26] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'june'), ('year', '2026'), ('type', 'inter'), ('applicable', 'may'), ('username', 'admin@pds'), ('async', '1')])
[2026-06-05 01:47:39] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'june'), ('year', '2026'), ('type', 'inter'), ('applicable', 'may'), ('username', 'admin@pds'), ('async', '1')])
[2026-06-05 01:47:56] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'june'), ('year', '2026'), ('type', 'inter'), ('applicable', 'may'), ('username', 'admin@pds'), ('async', '1')])
[2026-06-05 01:50:18] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'june'), ('year', '2026'), ('type', 'inter'), ('applicable', 'may'), ('username', 'admin@pds'), ('async', '1')])
[2026-06-05 02:00:45] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'june'), ('year', '2026'), ('type', 'intra'), ('applicable', 'may'), ('username', 'admin@pds'), ('async', '0')])
[2026-06-05 02:06:33] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'june'), ('year', '2026'), ('type', 'inter'), ('applicable', 'may'), ('username', 'admin@pds'), ('async', '1')])
